siren,siret,denominationUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr�cise
491273215,49127321500013,[ND],[ND],96.02B,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLANDRAUT,,[ND],33547,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02B, VILLANDRAUT
491300463,49130046300032,,,96.02B,,15,,,,LOTISSEMENT,DOMAINE DES VIGNES,33210,LANGON,,,33227,,,,,33227a051_B,440786.53,6387386.37,,A,,LECOEUR DES ONGLES,96.02B,15 LOTISSEMENT DOMAINE DES VIGNES 33210 LANGON
491399408,49139940800021,,,96.02B,,49,,,,AVENUE,DE LA REPUBLIQUE,33730,PRECHAC,,,33336,,,,,333360090_B,433312.51105138997,6372777.163465582,,A,,AUDREY LABROUSSE,96.02B,49 AVENUE DE LA REPUBLIQUE 33730 PRECHAC
491526083,49152608300010,,,96.02B,,17,B,,,RUE,DU LTT VILLEMEUR,33320,EYSINES,,,33162,,,,,331620365_C,,,,A,,,96.02B,"17, B RUE DU LTT VILLEMEUR 33320 EYSINES"
491557773,49155777300042,,,96.02B,,232,,,,AV,EYSINES,33000,BORDEAUX,,,33063,,,,,,,,,A,,,96.02B,232 AV EYSINES 33000 BORDEAUX
491620084,49162008400013,LABA,,96.02B,,46,,,,RUE,GAMBETTA,33500,LIBOURNE,,,33243,,,,,332430550_B,444172.7776248238,6429293.389428258,,A,YVES ROCHER,,96.02B,46 RUE GAMBETTA 33500 LIBOURNE
491820932,49182093200029,,,96.02B,RES LES TERRASSES DE CASSY,1,,,,AVENUE,DU CAPITAINE GARBAY,33138,LANTON,,,33229,,,,,332290191_B,378989.7242211922,6409715.541086017,,A,BRIN DE BEAUTE,,96.02B,RES LES TERRASSES DE CASSY 1 AVENUE DU CAPITAINE GARBAY 33138 LANTON
491876819,49187681900021,KF DEVELOPPEMENT,,96.02B,CTRE CIAL MERIADECK,,,,,RUE,DU CHATEAU D'EAU,33000,BORDEAUX,,,33063,,,,,330632015_B,416936.89920636517,6422067.886534821,,A,,,96.02B,CTRE CIAL MERIADECK  RUE DU CHATEAU D'EAU 33000 BORDEAUX
491876819,49187681900047,KF DEVELOPPEMENT,,96.02B,,37,,,,RUE,ESPRIT-DES-LOIS,33000,BORDEAUX,,,33063,,,,,330633250_B,417682.5396652899,6422376.852437902,,A,,,96.02B,37 RUE ESPRIT-DES-LOIS 33000 BORDEAUX
492212402,49221240200035,,,96.02B,,981,,,,RUE,JEAN TROCARD,33570,LES ARTIGUES-DE-LUSSAC,,,33014,,,,,330140050_B,452872.2,6435558.49,,A,,CATHERINE.G,96.02B,981 RUE JEAN TROCARD 33570 LES ARTIGUES-DE-LUSSAC
492328976,49232897600021,EURL ONGLE ET SOLEIL,,96.02B,,15,,,,RUE,LEON BLUM,33150,CENON,,,33119,,,,,331191307_B,422515.21988073894,6424538.538503011,,A,,EURL ONGLE ET SOLEIL,96.02B,15 RUE LEON BLUM 33150 CENON
492794409,49279440900010,,,96.02B,,62,,,,COURS,DE LA REPUBLIQUE,33470,GUJAN-MESTRAS,,,33199,,,,,331990790_B,377837.164387961,6401540.959527679,,A,LES SENS IELS,,96.02B,62 COURS DE LA REPUBLIQUE 33470 GUJAN-MESTRAS
492893128,49289312800016,,,96.02B,,59,,,,AVENUE,AUSTIN CONTE,33560,CARBON-BLANC,,,33096,,,,,330960308_B,423776.83799608814,6427859.95982118,,A,CHRYSALI'S ONGLES ET BEAUTE,,96.02B,59 AVENUE AUSTIN CONTE 33560 CARBON-BLANC
492893540,49289354000020,,,96.02B,,84,,,,COURS,DE LA REPUBLIQUE,33470,GUJAN-MESTRAS,,,33199,,,,,331990790_B,377971.1118810353,6401599.127848492,,A,DERMEA,DERMEA LONGO CAMILLE,96.02B,84 COURS DE LA REPUBLIQUE 33470 GUJAN-MESTRAS
492975909,49297590900028,A2MAINS,,96.02B,,35,,,,RUE,CALVE,33000,BORDEAUX,,,33063,,,,,330631395_B,416420.9154180082,6423294.137577381,,A,,,96.02B,35 RUE CALVE 33000 BORDEAUX
493107379,49310737900031,,,96.02B,,12,,,,RUE,JULES GUESDE,33850,LEOGNAN,,,33238,,,,,332380321_B,415192.1434676492,6410124.829785728,,A,,LES FEES PLUME,96.02B,12 RUE JULES GUESDE 33850 LEOGNAN
