siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
898544119,89854411900024,MEDICIS,,56.30Z,,16,,,,PL,LOUIS DE LA BARDONNIE,24100,BERGERAC,,,24037,,,,,240372704_C,,,,A,,,56.30Z,16 PL LOUIS DE LA BARDONNIE 24100 BERGERAC
899072789,89907278900014,SNC ROY NAEL,,56.30Z,,172,,,,AVENUE,MICHEL GRANDOU,24750,TRELISSAC,,,24557,,,,,245570174_B,523217.61758790014,6456990.63051563,,A,LE ZINC,LE ZINC,56.30Z,172 AVENUE MICHEL GRANDOU 24750 TRELISSAC
899737761,89973776100028,LA FABRIK SUITE,,56.30Z,,20,,,,PLACE,DU MARCHE AU BOIS,24000,PERIGUEUX,,,24322,,,,,243222550_B,521143.02278429654,6456568.722913568,,A,LA FABRIK,LA FABRIK,56.30Z,20 PLACE DU MARCHE AU BOIS 24000 PERIGUEUX
900650060,90065006000016,RUMEURS BISTRO,,56.30Z,,16,,,,AVENUE,DE LIMOGES,24450,MIALET,,,24269,,,,,242690054_B,536535.461948748,6496806.188534476,,A,,,56.30Z,16 AVENUE DE LIMOGES 24450 MIALET
900916602,90091660200015,,,56.30Z,,6,,,,PLACE,DU MARCHE,24270,PAYZAC,,,24320,,,,,243200070_B,560678.5457205803,6479526.084559222,,A,CENTER BAR,,56.30Z,6 PLACE DU MARCHE 24270 PAYZAC
901401265,90140126500011,CAFE CULTUREL ASSOCIATIF LE CHAT PLINE,,56.30Z,,47,,,,RUE,DU GENERAL LAMY,24800,THIVIERS,,,24551,,,,,245510460_B,537458.9633088469,6481846.827407933,,A,,,56.30Z,47 RUE DU GENERAL LAMY 24800 THIVIERS
901934638,90193463800015,SNC HCR RC,,56.30Z,BELVES,2,,,,PLACE,D'ARMES,24170,PAYS DE BELVES,,,24035,,,,,240350080_B,542383.61,6410549.52,,A,,LE XVEME,56.30Z,BELVES 2 PLACE D'ARMES 24170 PAYS DE BELVES
902016070,90201607000028,,,56.30Z,LE BOURG,81,,,,RUE,CAMILLE MERLAUD,24320,VERTEILLAC,,,24573,,,,,245730400_B,493782.44377526094,6475394.373456894,,A,LE CALICE BAR,LE CALICE,56.30Z,LE BOURG 81 RUE CAMILLE MERLAUD 24320 VERTEILLAC
903488856,90348885600019,SNC DA SILVA,,56.30Z,,1688,,,,ROUTE,D'ALSACE,24200,SARLAT-LA-CANEDA,,,24520,,,,,245200056_B,558493.592647144,6426431.538982005,,A,LES PRESSES'S,LES PRESSES'S,56.30Z,1688 ROUTE D'ALSACE 24200 SARLAT-LA-CANEDA
904042306,90404230600012,DVST ASSOCIES,,56.30Z,,107,,,,ROUTE,DE LYON,24000,PERIGUEUX,,,24322,,,,,243222480_B,522320.00230381277,6455838.911974342,,A,LE BERTRIX,LE BERTRIX,56.30Z,107 ROUTE DE LYON 24000 PERIGUEUX
905021358,90502135800015,LE SAINT AQUILIN,,56.30Z,,875,,,,RUE,DE LA REPUBLIQUE,24110,SAINT-AQUILIN,,,24371,,,,,24371wb3w_B,503093.3935307948,6457171.689879501,,A,,,56.30Z,875 RUE DE LA REPUBLIQUE 24110 SAINT-AQUILIN
907574933,90757493300038,C.D.E.F.,,56.30Z,,2,,,,RUE,DES MOULINS,24150,BAYAC,,,24027,,,,,240279a2i_B,521072.79,6413968.04,,A,,,56.30Z,2 RUE DES MOULINS 24150 BAYAC
907998140,90799814000038,,,01.47Z,,508,,,,ROUTE,DES GABARRES,24220,VEZAC,,,24577,,,,,245770390_B,554018.23,6416306.0,,A,,,56.30Z,508 ROUTE DES GABARRES 24220 VEZAC
908046436,90804643600014,NUMERO 7,,56.30Z,,7,,,,PLACE,DE LA MADELEINE,24100,BERGERAC,,,24037,,,,,240372730_B,501085.11324397416,6419570.223574941,,A,NUMERO 7,NUMERO 7,56.30Z,7 PLACE DE LA MADELEINE 24100 BERGERAC
908609852,90860985200011,LE CLOS DES 3 OUVREES,,56.30Z,,,,,,,LIEU-DIT LA VAYSSEIX,24270,PAYZAC,,,24320,,,,,,,,,A,,LE CLOS DES 3 OUVREES,56.30Z, LIEU-DIT LA VAYSSEIX 24270 PAYZAC
908622012,90862201200015,CAFE DU PALAIS,,56.30Z,,,,,,PL,JOSEPH DEBONNIERE,24600,RIBERAC,,,24352,,,,,243520560_C,,,,A,CAFE DU PALAIS,CAFE DU PALAIS,56.30Z, PL JOSEPH DEBONNIERE 24600 RIBERAC
910137249,91013724900017,BOULFROY,,56.30Z,,7,,,,PL,ALFRED AGARD,24300,NONTRON,,,24311,,,,,243110020_C,,,,A,LE TROTTEUR,,56.30Z,7 PL ALFRED AGARD 24300 NONTRON
911112761,91111276100018,LE SAINT ALVERE,,56.30Z,LIEU DIT SAINTE ALVERE,2,,,,PL,SAINTE MARTHE,24380,VAL DE LOUYRE ET CAUDEAU,,,24362,,,,,,,,,A,LE SAINT ALVERE,SNC LE SAINT ALVERE,56.30Z,LIEU DIT SAINTE ALVERE 2 PL SAINTE MARTHE 24380 VAL DE LOUYRE ET CAUDEAU
911463305,91146330500019,METS & VIN,,56.30Z,,32,,,,PLACE,NATIONALE,24600,RIBERAC,,,24352,,,,,243520760_B,491369.8435719785,6464378.875370475,,A,,METS & VIN,56.30Z,32 PLACE NATIONALE 24600 RIBERAC
912239563,91223956300014,MAZIERE-TRONCHE,,56.30Z,,1,,,,PL,DU CHATEAU,24800,SAINT-JEAN-DE-COLE,,,24425,,,,,,,,,A,LA PERLA CAFE,LA PERLA CAFE,56.30Z,1 PL DU CHATEAU 24800 SAINT-JEAN-DE-COLE
913275236,91327523600010,MATHIEU RICHARD,,56.30Z,,,,,,,LE BOURG,24250,LA ROQUE-GAGEAC,,,24355,,,,,24355B006_C,,,,A,LES TERRASSES DE LA ROQUE,LES TERRASSES DE LA ROQUE,56.30Z, LE BOURG 24250 LA ROQUE-GAGEAC
913798997,91379899700015,LE BISTROT DU CLOCHER,,56.30Z,,,,,,,POMPORT OUEST,24240,POMPORT,,,24331,,,,,,,,,A,,,56.30Z, POMPORT OUEST 24240 POMPORT
913965810,91396581000017,LA MASCOTTE,,56.30Z,LE BOURG,10,,,,RUE,DE LA MAIRIE,24600,SEGONZAC,,,24529,,,,,245290040_B,499680.68118522665,6459460.722317912,,A,,LA MASCOTTE,56.30Z,LE BOURG 10 RUE DE LA MAIRIE 24600 SEGONZAC
914604335,91460433500028,LE MADEL,,56.30Z,,,,,,RTE,DE LA TOUR LE BOURG,24290,LA CHAPELLE-AUBAREIL,,,24106,,,,,,,,,A,,LE MADEL,56.30Z, RTE DE LA TOUR LE BOURG 24290 LA CHAPELLE-AUBAREIL
914795307,91479530700018,,,56.30Z,,13,B,,,PL,MALBEC,24100,BERGERAC,,,24037,,,,,240372280_C,,,,A,L'EDEN CAFE,,56.30Z,"13, B PL MALBEC 24100 BERGERAC"
914838578,91483857800013,CAFE LEON,,56.30Z,HOTEL DE VILLE,,,,,,LE BOURG,24290,SAINT-LEON-SUR-VEZERE,,,24443,,,,,24443B012_C,,,,A,,,56.30Z,HOTEL DE VILLE  LE BOURG 24290 SAINT-LEON-SUR-VEZERE
917957235,91795723500018,LE MOCCA,,56.30Z,,5,,,,RUE,DE LA BRECHE,24100,BERGERAC,,,24037,,,,,240370720_B,501269.0353978495,6420134.548763341,,A,,LE MOCCA,56.30Z,5 RUE DE LA BRECHE 24100 BERGERAC
918342106,91834210600013,BAR DES AMIS DE BRANTOME,,56.30Z,,4,,,,PL,DU MARCHE,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,BAR DES AMIS,SAS BAR DES AMIS DE BRANTOME,56.30Z,4 PL DU MARCHE 24310 BRANTOME EN PERIGORD
919011619,91901161900013,CACAOTHE,,56.30Z,,7,,,,AVENUE,DAUMESNIL,24000,PERIGUEUX,,,24322,,,,,243221270_B,521215.83450487134,6456450.739104744,,A,,,56.30Z,7 AVENUE DAUMESNIL 24000 PERIGUEUX
919440495,91944049500019,CAIPI,,56.30Z,,46,,,,RUE,DE CARDENAL,24560,ISSIGEAC,,,24212,,,,,242120001_B,510673.30601476,6406280.895415097,,A,ANDY'S BAR,,56.30Z,46 RUE DE CARDENAL 24560 ISSIGEAC
919645010,91964501000019,,,56.30Z,,11,,,,COURS,FENELON,24000,PERIGUEUX,,,24322,,,,,243221520_B,520941.37271413935,6456249.225737096,,A,BAR TABAC LE H,BAR TABAC LE H,56.30Z,11 COURS FENELON 24000 PERIGUEUX
919705913,91970591300011,BELLEVUE,,56.30Z,,12,,,,QUAI,SALVETTE,24100,BERGERAC,,,24037,,,,,240374380_B,501084.9022667108,6419979.953525672,,A,BELLEVUE,BELLEVUE,56.30Z,12 QUAI SALVETTE 24100 BERGERAC
920138526,92013852600016,L'OURASI,,56.30Z,,58,,,,RUE,DU LIMOUSIN,24270,LANOUAILLE,,,24227,,,,,242270114_B,554487.5891340072,6479019.437520308,,A,,,56.30Z,58 RUE DU LIMOUSIN 24270 LANOUAILLE
920645017,92064501700012,CHEZ MONIQUE,,56.30Z,,5,,,,IMPASSE,SAINTE CECILE,24000,PERIGUEUX,,,24322,,,,,243223680_B,520904.4835440863,6456424.727897132,,A,,,56.30Z,5 IMPASSE SAINTE CECILE 24000 PERIGUEUX
921779880,92177988000019,CAR-OLI,,56.30Z,,17,,,,RUE,DE L'AUVEZERE,24270,PAYZAC,,,24320,,,,,243200007_B,560785.4878262915,6479420.476668978,,A,,L'ESSENTIEL,56.30Z,17 RUE DE L'AUVEZERE 24270 PAYZAC
921898011,92189801100017,CAFE DE LA TRUFFE,,56.30Z,,4,,,,PLACE,DU CODERC,24000,PERIGUEUX,,,24322,,,,,243221130_B,521066.60264155257,6456458.155725428,,A,,,56.30Z,4 PLACE DU CODERC 24000 PERIGUEUX
922369327,92236932700023,FLORA REBUT,,56.30Z,,10,,,,RUE,DE VERDUN,24700,MONTPON-MENESTEROL,,,24294,,,,,242940374_B,476272.21428487357,6438404.954587902,,A,L'IMPACT 76,,56.30Z,10 RUE DE VERDUN 24700 MONTPON-MENESTEROL
