siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
889175105,88917510500028,HISTOIRES DE COIFFURE,,96.02A,,1,,,,PL,D'ARMES BELVES,24170,PAYS DE BELVES,,,24035,,,,,,,,,A,,HISTOIRES DE COIFFURE,96.02A,1 PL D'ARMES BELVES 24170 PAYS DE BELVES
889476651,88947665100019,,,96.02A,,,,,,,LE BOURG,24600,VILLETOUREIX,,,24586,,,,,24586B018_C,,,,A,,,96.02A, LE BOURG 24600 VILLETOUREIX
889619805,88961980500027,AU SALON D AMANDINE,,96.02A,,4,,,,RUE,LANMARY,24000,PERIGUEUX,,,24322,,,,,243222310_B,521142.37747884425,6456538.187403348,,A,,AU SALON D AMANDINE,96.02A,4 RUE LANMARY 24000 PERIGUEUX
889754982,88975498200011,,,96.02A,,10,,,,,LE GELIBERT,24600,ALLEMANS,,,24007,,,,,24007B048_C,,,,A,,,96.02A,10 LE GELIBERT 24600 ALLEMANS
889919643,88991964300011,,,96.02A,,,,,,,LA CABANNE,24190,SAINT-ANDRE-DE-DOUBLE,,,24367,,,,,,,,,A,,SEVERINE COIFFURE A DOMICILE,96.02A, LA CABANNE 24190 SAINT-ANDRE-DE-DOUBLE
890725732,89072573200014,BIATO,,96.02A,CENTRE COMMERCIAL INTERMARCHE,,,,,AVENUE,GEORGES POMPIDOU,24750,TRELISSAC,,,24557,,,,,245570098_B,522211.9415346243,6457739.577532037,,A,,LOOK COIFFURE,96.02A,CENTRE COMMERCIAL INTERMARCHE  AVENUE GEORGES POMPIDOU 24750 TRELISSAC
891621823,89162182300014,[ND],[ND],96.02A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],CHANCELADE,,[ND],24102,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02A, CHANCELADE
891635849,89163584900013,MEL' ET DEMELE,,96.02A,,9,,,,RUE,HENRI FEYTOU,24400,SAINT-MEDARD-DE-MUSSIDAN,,,24462,,,,,244620015_B,490964.7821655157,6441837.84645517,,A,,,96.02A,9 RUE HENRI FEYTOU 24400 SAINT-MEDARD-DE-MUSSIDAN
892973934,89297393400029,,,96.02A,,43,,,,RUE,NEUVE D'ARGENSON,24100,BERGERAC,,,24037,,,,,240373240_B,501328.16953673156,6420052.875758842,,A,,CARNIEL,96.02A,43 RUE NEUVE D'ARGENSON 24100 BERGERAC
893235325,89323532500022,,,96.02A,1 CROIX DE MAYA,58,,,,AVENUE,DE BORDEAUX,33220,PORT-SAINTE-FOY-ET-PONCHAPT,,,24335,,,,,243350015_B,477888.22874271404,6420035.035679876,,A,,TETE A TETE,96.02A,1 CROIX DE MAYA 58 AVENUE DE BORDEAUX 33220 PORT-SAINTE-FOY-ET-PONCHAPT
