siren,url_pappers,site_web,adress,lat,lon
393895487,https://www.pappers.fr/recherche?q=393895487,https://coiffeusementvotre.fr/,6 AVENUE DE L'EUROPE 33350 SAINT-MAGNE-DE-CASTILLON,44.854571,-0.052766
394238984,https://www.pappers.fr/recherche?q=394238984,Non renseigné,MAISON NO 6 71 RUE CARLE VERNET 33140 VILLENAVE-D'ORNON,44.77014,-0.551837
394382360,https://www.pappers.fr/recherche?q=394382360,Non renseigné,"6, B RUE DE LA SEOUBE 33260 LA TESTE-DE-BUCH",44.621092,-1.150195
394647382,https://www.pappers.fr/recherche?q=394647382,Non renseigné,3 QUAI HUBERT PROM 33300 BORDEAUX,44.868397,-0.555329
394697882,https://www.pappers.fr/recherche?q=394697882,Non renseigné,97 AVENUE JEAN CORDIER 33600 PESSAC,44.81698,-0.61824
394703177,https://www.pappers.fr/recherche?q=394703177,https://salonvirginiecoiffure.fr/,72 AVENUE AUSTIN CONTE 33560 CARBON-BLANC,44.896538,-0.498301
397609751,https://www.pappers.fr/recherche?q=397609751,Non renseigné,2 RUE PORTE DU DROT 33580 MONSEGUR,44.65033,0.079378
398227462,https://www.pappers.fr/recherche?q=398227462,https://epitetepessac.fr/,38 AVENUE DU PONT DE L'ORIENT 33600 PESSAC,44.80804,-0.649237
398365742,https://www.pappers.fr/recherche?q=398365742,Non renseigné,115 ROUTE DE LA SAUVETAT 33390 CARS,45.137672,-0.610526
398579953,https://www.pappers.fr/recherche?q=398579953,Non renseigné,141 BOULEVARD DE LA REPUBLIQUE 33510 ANDERNOS-LES-BAINS,44.741618,-1.097791
398596536,https://www.pappers.fr/recherche?q=398596536,Non renseigné,5 RUE MARC BOURGUEDIEU 33112 SAINT-LAURENT-MEDOC,45.150946,-0.821394
398609867,https://www.pappers.fr/recherche?q=398609867,Non renseigné,CTRE CIAL CARREFOUR MARKET 1 PEY DU PRAT 33420 GREZILLAC,44.831392,-0.189897
398782987,https://www.pappers.fr/recherche?q=398782987,Non renseigné,2 LD GABILLONNERIE 33540 SAINT-BRICE,44.694507,-0.145015
398903138,https://www.pappers.fr/recherche?q=398903138,Non renseigné,441 ALLEE DU HAPCHOT 33127 SAINT-JEAN-D'ILLAC,44.813053,-0.791235
398943613,https://www.pappers.fr/recherche?q=398943613,Non renseigné,200 AVENUE DU GENERAL DE GAULLE 33290 BLANQUEFORT,44.927845,-0.635323
399174051,https://www.pappers.fr/recherche?q=399174051,Non renseigné,120 RUE BRANLY 33720 CERONS,44.631103,-0.335618
399223478,https://www.pappers.fr/recherche?q=399223478,Non renseigné,PLACE DU 1ER AOUT 33730 PRECHAC,44.398978,-0.353018
399241280,https://www.pappers.fr/recherche?q=399241280,Non renseigné,PORCHERES,45.038086,0.008181
